nombre,Posicion,nacido,partidos_jugados,titularidades,minutos_jugados,goles,asistencias,amarillas,rojas,carreras_progresivas,pases_progresivos,Pases_progresivos_recibidos,temporada,liga
lucas bergvall,MF,2006,27,11,1212,0,1,3,0,33,49,31,2024-2025,premier-league
victor bernth kristiansen,DF,2002,30,29,2482,0,1,1,0,40,70,78,2024-2025,premier-league
beto,FW,1998,30,15,1534,8,0,2,0,15,16,77,2024-2025,premier-league
philip billing,MF,1996,10,1,184,0,0,1,0,3,15,13,2024-2025,premier-league
yves bissouma,MF,1996,28,16,1408,2,0,7,0,15,75,3,2024-2025,premier-league
oscar bobb,FW,2003,3,0,16,0,0,0,0,1,1,1,2024-2025,premier-league
lamare bogarde,"DF,MF",2004,8,5,476,0,0,2,0,12,14,9,2024-2025,premier-league
willy boly,DF,1991,6,1,150,0,0,1,0,0,2,0,2024-2025,premier-league
sven botman,DF,2000,8,6,412,0,0,1,0,0,7,0,2024-2025,premier-league
jarrod bowen,"FW,MF",1996,34,34,2973,13,8,1,0,109,91,212,2024-2025,premier-league
conor bradley,DF,2003,19,7,754,0,2,4,0,35,33,39,2024-2025,premier-league
jarrad branthwaite,DF,2002,30,28,2511,0,1,4,0,10,66,2,2024-2025,premier-league
james bree,DF,1997,17,13,1075,0,1,0,0,13,34,43,2024-2025,premier-league
ben brereton,FW,1999,10,4,449,0,0,1,0,12,9,42,2024-2025,premier-league
nathan broadhead,"MF,FW",1998,18,7,702,2,0,1,0,20,14,33,2024-2025,premier-league
armando broja,FW,2001,10,4,334,0,0,1,0,12,2,26,2024-2025,premier-league
david brooks,"FW,MF",1997,29,9,960,2,0,3,0,35,35,83,2024-2025,premier-league
emi buendía,"MF,FW",1996,12,0,98,0,0,1,0,3,7,6,2024-2025,premier-league
santiago bueno,DF,1998,29,18,1687,0,0,2,0,1,28,1,2024-2025,premier-league
facundo buonanotte,"FW,MF",2004,31,14,1523,5,2,8,0,39,54,74,2024-2025,premier-league
cameron burgess,DF,1995,18,16,1541,0,2,0,0,2,42,4,2024-2025,premier-league
dan burn,DF,1992,37,37,3330,1,1,11,0,12,75,14,2024-2025,premier-league
wes burns,"FW,DF",1994,18,12,926,0,1,1,0,38,8,65,2024-2025,premier-league
nathan butler-oyedeji,FW,2003,1,0,7,0,0,0,0,0,0,0,2024-2025,premier-league
moisés caicedo,"MF,DF",2001,38,38,3351,1,2,11,0,43,215,37,2024-2025,premier-league
tom cairney,MF,1991,25,3,628,2,0,3,1,18,53,33,2024-2025,premier-league
jens cajuste,MF,1999,30,25,1959,1,1,2,0,26,59,20,2024-2025,premier-league
riccardo calafiori,DF,2002,19,11,983,2,1,4,0,22,54,29,2024-2025,premier-league
dominic calvert-lewin,FW,1997,26,19,1609,3,1,2,0,23,20,112,2024-2025,premier-league
diego carlos,DF,1993,10,8,830,0,0,1,0,3,34,0,2024-2025,premier-league
fabio carvalho,"FW,MF",2002,19,3,455,2,1,1,0,9,17,23,2024-2025,premier-league
casemiro,MF,1992,24,18,1494,1,0,5,0,4,84,28,2024-2025,premier-league
kaelan casey,DF,2004,1,0,1,0,0,0,0,0,0,0,2024-2025,premier-league
matty cash,DF,1997,27,24,2070,1,1,7,0,48,42,90,2024-2025,premier-league
eiran cashin,DF,2001,2,0,20,0,0,0,0,0,6,1,2024-2025,premier-league
timothy castagne,DF,1995,24,17,1649,0,1,1,0,17,62,67,2024-2025,premier-league
trevoh chalobah,DF,1999,12,12,1060,3,0,1,0,11,34,6,2024-2025,premier-league
trevoh chalobah,DF,1999,13,11,910,0,1,2,0,4,37,2,2024-2025,premier-league
conor chaplin,"MF,FW",1997,22,10,857,1,1,2,0,13,29,23,2024-2025,premier-league
youssef chermiti,"FW,MF",2004,4,0,45,0,0,1,0,0,1,6,2024-2025,premier-league
federico chiesa,FW,1997,6,1,108,0,0,0,0,3,3,7,2024-2025,premier-league
ben chilwell,DF,1996,8,1,259,1,0,1,0,5,8,15,2024-2025,premier-league
chiquinho,MF,2000,1,0,7,0,0,0,0,0,0,0,2024-2025,premier-league
hamza choudhury,"MF,DF",1997,4,1,131,0,0,0,0,4,3,6,2024-2025,premier-league
ryan christie,MF,1995,29,27,2117,2,3,9,0,34,137,44,2024-2025,premier-league
harry clarke,DF,2001,7,4,379,0,0,3,1,5,14,2,2024-2025,premier-league
jack clarke,"FW,MF",2000,32,12,1181,0,4,2,0,39,44,57,2024-2025,premier-league
nathaniel clyne,"DF,MF",1991,13,5,483,0,0,1,0,6,7,8,2024-2025,premier-league
conor coady,DF,1993,22,19,1714,1,0,3,0,3,32,0,2024-2025,premier-league
séamus coleman,DF,1988,5,3,215,0,0,1,0,1,11,7,2024-2025,premier-league
nathan collins,DF,2001,38,38,3420,2,3,5,0,32,127,18,2024-2025,premier-league
toby collyer,MF,2004,6,0,179,0,0,0,0,0,5,2,2024-2025,premier-league
levi colwill,DF,2003,35,35,3149,2,1,9,0,14,131,12,2024-2025,premier-league
lewis cook,"MF,DF",1997,36,32,2978,1,3,8,1,33,158,52,2024-2025,premier-league
maxwel cornet,FW,1996,2,1,72,0,0,1,0,1,0,5,2024-2025,premier-league
