nombre,Posicion,nacido,partidos_jugados,titularidades,minutos_jugados,goles,asistencias,amarillas,rojas,carreras_progresivas,pases_progresivos,Pases_progresivos_recibidos,temporada,liga
andrej kramarić,"MF,FW",1991,30,25,2199,15,6,4,0,71,119,175,2023-2024,bundesliga
christoph kramer,MF,1991,14,1,249,0,0,4,0,10,17,8,2023-2024,bundesliga
frans krätzig,DF,2003,4,0,56,0,0,0,0,0,7,7,2023-2024,bundesliga
tom krauß,MF,2001,29,13,1346,1,2,5,0,12,68,29,2023-2024,bundesliga
lukas kübler,DF,1992,26,22,1847,1,0,7,0,13,70,32,2023-2024,bundesliga
mahmut kücüksahin,MF,2004,1,0,1,0,0,0,0,0,0,0,2023-2024,bundesliga
christian kühlwetter,MF,1996,1,0,8,0,1,0,0,1,0,0,2023-2024,bundesliga
moritz-broni kwarteng,FW,1998,11,2,281,0,1,1,1,8,6,24,2023-2024,bundesliga
maxence lacroix,DF,2000,28,27,2362,4,1,5,3,5,79,5,2023-2024,bundesliga
aïssa laïdouni,MF,1996,23,10,1071,0,3,2,0,24,56,41,2023-2024,bundesliga
konrad laimer,"DF,MF",1997,29,18,1772,0,3,3,0,62,127,98,2023-2024,bundesliga
stefan lainer,"DF,MF",1992,15,8,751,0,1,2,0,15,37,31,2023-2024,bundesliga
hugo larsson,MF,2004,29,21,1886,2,1,1,0,26,68,42,2023-2024,bundesliga
diogo leite,DF,1999,32,31,2702,0,0,6,0,14,121,4,2023-2024,bundesliga
maxim leitsch,DF,1998,7,4,379,0,0,0,0,1,7,0,2023-2024,bundesliga
christopher lenz,"DF,MF",1994,5,0,47,0,0,0,0,1,2,7,2023-2024,bundesliga
christopher lenz,DF,1994,1,0,10,0,0,0,0,0,1,0,2023-2024,bundesliga
jamie leweling,"FW,MF",2001,34,17,1523,4,4,3,0,65,35,172,2023-2024,bundesliga
philipp lienhart,DF,1996,15,14,1265,1,0,3,0,14,53,3,2023-2024,bundesliga
matthijs de ligt,DF,1999,22,16,1390,2,0,5,0,16,98,6,2023-2024,bundesliga
jesper lindstrøm,FW,2000,1,1,83,0,0,0,0,2,1,9,2023-2024,bundesliga
dejan ljubicic,"MF,FW",1997,26,24,2048,0,2,6,0,41,84,73,2023-2024,bundesliga
noah loosli,DF,1997,10,2,346,0,0,1,0,1,6,3,2023-2024,bundesliga
anthony losilla,MF,1986,31,31,2576,1,2,10,0,11,100,42,2023-2024,bundesliga
castello lukeba,DF,2002,32,24,2191,1,0,3,0,23,107,9,2023-2024,bundesliga
andreas luthe,GK,1987,1,1,90,0,0,0,0,0,0,0,2023-2024,bundesliga
senne lynen,MF,1999,32,20,1797,0,3,6,0,10,66,28,2023-2024,bundesliga
ian maatsen,DF,2002,16,15,1264,2,2,5,0,41,80,49,2023-2024,bundesliga
matej maglica,DF,1998,26,21,1698,1,0,7,2,11,62,5,2023-2024,bundesliga
