nombre,Posicion,club_actual,partidos_jugados,titularidades,minutos_jugados,goles,asistencias,amarillas,rojas,carreras_progresivas,pases_progresivos,Pases_progresivos_recibidos,temporada,liga
pierluigi gollini,GK,Napoli,4,4,360,0,0,0,0,0,0,0,2022-2023,serie-a
joan gonzàlez,MF,Lecce,35,26,2197,1,3,8,0,18,71,67,2022-2023,serie-a
nicolás gonzález,"FW,MF",Fiorentina,24,13,1354,6,1,3,0,37,70,112,2022-2023,serie-a
robin gosens,DF,Inter,32,11,1184,3,0,2,0,29,41,102,2022-2023,serie-a
alberto grassi,MF,Empoli,25,14,1194,0,0,3,0,5,50,10,2022-2023,serie-a
andrew gravillon,DF,Torino,7,4,312,0,0,2,0,1,9,0,2022-2023,serie-a
axel guessand,DF,Udinese,1,1,79,0,0,0,0,0,0,0,2022-2023,serie-a
koray günter,DF,Hellas Verona,13,11,1003,1,0,3,0,7,36,3,2022-2023,serie-a
koray günter,DF,Sampdoria,10,8,776,0,0,2,0,4,21,2,2022-2023,serie-a
emmanuel gyasi,"FW,DF",Spezia,35,35,2810,2,0,10,0,35,52,154,2022-2023,serie-a
norbert gyömbér,DF,Salernitana,27,23,1740,0,1,5,0,5,45,2,2022-2023,serie-a
christian gytkjær,"FW,MF",Monza,22,3,559,1,0,0,0,1,6,32,2022-2023,serie-a
nicolas haas,MF,Empoli,24,12,1156,1,1,2,0,10,36,23,2022-2023,serie-a
samir handanović,GK,Inter,14,14,1234,0,0,0,0,0,0,0,2022-2023,serie-a
abdou harroui,MF,Sassuolo,23,5,647,2,0,2,0,21,36,32,2022-2023,serie-a
hans hateboer,DF,Atalanta,17,17,1397,1,1,7,0,16,55,73,2022-2023,serie-a
liam henderson,MF,Empoli,25,11,1007,0,1,9,0,11,38,38,2022-2023,serie-a
jack hendry,DF,Cremonese,4,2,220,0,0,1,0,1,9,0,2022-2023,serie-a
matheus henrique,MF,Sassuolo,30,21,1947,4,1,4,0,40,116,68,2022-2023,serie-a
thomas henry,FW,Hellas Verona,16,13,1030,2,0,4,0,3,18,58,2022-2023,serie-a
theo hernández,DF,Milan,32,32,2771,4,3,7,0,108,128,146,2022-2023,serie-a
isak hien,DF,Hellas Verona,32,28,2607,0,0,9,0,17,54,2,2022-2023,serie-a
morten hjulmand,MF,Lecce,35,34,2962,0,4,9,1,9,159,16,2022-2023,serie-a
emil holm,DF,Spezia,20,17,1393,1,1,4,0,41,40,82,2022-2023,serie-a
martin hongla,MF,Hellas Verona,9,6,523,0,0,4,0,6,24,10,2022-2023,serie-a
player,Pos,Squad,MP,Starts,Min,Gls,Ast,CrdY,CrdR,PrgC,PrgP,PrgR,2022-2023,serie-a
petko hristov,DF,Spezia,9,4,365,0,0,0,0,2,8,3,2022-2023,serie-a
ajdin hrustic,MF,Hellas Verona,6,3,226,0,0,0,0,7,8,12,2022-2023,serie-a
elseid hysaj,DF,Lazio,34,22,1998,1,1,3,0,36,103,60,2022-2023,serie-a
rasmus højlund,FW,Atalanta,32,20,1834,9,2,1,0,40,37,224,2022-2023,serie-a
roger ibanez,DF,Roma,33,32,2796,3,0,11,1,24,77,9,2022-2023,serie-a
zlatan ibrahimović,FW,Milan,4,1,146,1,0,0,0,0,4,10,2022-2023,serie-a
antonio iervolino,MF,Salernitana,1,0,5,0,0,0,0,0,2,2,2022-2023,serie-a
igor,DF,Fiorentina,27,23,2057,0,0,10,1,19,76,2,2022-2023,serie-a
jonathan ikone,FW,Fiorentina,33,24,2007,4,4,4,0,83,67,178,2022-2023,serie-a
