nombre,Posicion,club_actual,partidos_jugados,titularidades,minutos_jugados,goles,asistencias,amarillas,rojas,carreras_progresivas,pases_progresivos,Pases_progresivos_recibidos,temporada,liga
eric garcía,"DF,MF",Barcelona,29,14,1566,2,3,4,0,18,109,22,2024-2025,laliga
fran garcia,DF,Real Madrid,31,24,2171,0,2,0,0,78,119,177,2024-2025,laliga
gonzalo garcía,"FW,DF",Real Madrid,3,0,56,0,1,0,0,0,0,3,2024-2025,laliga
joan garcía,GK,Espanyol,38,38,3420,0,0,2,0,0,1,0,2024-2025,laliga
pablo garcia,FW,Betis,3,0,38,0,0,0,0,2,0,8,2024-2025,laliga
rubén garcía,"FW,MF",Osasuna,36,30,2413,5,5,2,0,37,112,157,2024-2025,laliga
unai garcía,DF,Osasuna,3,1,65,0,0,0,0,0,3,0,2024-2025,laliga
yarek gasiorowski,DF,Valencia,15,9,947,0,0,1,0,9,38,0,2024-2025,laliga
gavi,"MF,FW",Barcelona,26,14,1085,1,1,4,0,13,77,42,2024-2025,laliga
paulo gazzaniga,GK,Girona,36,36,3195,0,0,4,0,0,0,0,2024-2025,laliga
bryan gil,"FW,MF",Girona,25,21,1721,3,3,4,0,76,74,210,2024-2025,laliga
dani gómez,FW,Valencia,14,5,532,2,0,0,0,3,6,24,2024-2025,laliga
player,Pos,Squad,MP,Starts,Min,Gls,Ast,CrdY,CrdR,PrgC,PrgP,PrgR,2024-2025,laliga
moi gómez,"MF,FW",Osasuna,26,6,796,0,0,1,0,13,49,16,2024-2025,laliga
sergi gómez,DF,Espanyol,12,6,664,0,0,1,0,0,8,1,2024-2025,laliga
sergio gómez,"MF,DF",Real Sociedad,37,31,2738,2,5,4,0,43,93,154,2024-2025,laliga
unai gómez,"MF,FW",Athletic Club,32,14,1284,1,3,1,0,19,23,49,2024-2025,laliga
fabio gonzález,MF,Las Palmas,2,0,53,0,0,0,0,0,6,0,2024-2025,laliga
peter gonzález,"MF,FW",Getafe,17,2,477,0,0,1,0,8,6,33,2024-2025,laliga
urko gonzález,MF,Espanyol,17,16,1374,0,2,2,0,18,62,8,2024-2025,laliga
urko gonzález,MF,Real Sociedad,1,1,45,0,0,1,0,0,1,0,2024-2025,laliga
andoni gorosabel,DF,Athletic Club,20,17,1485,0,2,5,0,17,51,59,2024-2025,laliga
josé gragera,MF,Espanyol,10,7,569,0,0,0,0,1,14,3,2024-2025,laliga
dominik greif,GK,Mallorca,31,31,2790,0,0,1,0,0,0,0,2024-2025,laliga
antoine griezmann,"FW,MF",Atlético Madrid,38,29,2469,8,7,2,0,46,143,177,2024-2025,laliga
florian grillitsch,MF,Valladolid,13,7,623,0,0,1,0,9,38,7,2024-2025,laliga
vicente guaita,GK,Celta Vigo,34,34,3060,0,0,0,0,0,1,0,2024-2025,laliga
sergi guardiola,FW,Rayo Vallecano,16,1,362,0,0,1,0,2,3,22,2024-2025,laliga
nemanja gudelj,"MF,DF",Sevilla,31,27,2493,1,1,6,0,14,64,5,2024-2025,laliga
javier guerra,MF,Valencia,36,31,2581,3,3,5,0,50,137,84,2024-2025,laliga
ander guevara,MF,Alavés,33,20,1947,0,1,3,0,14,112,19,2024-2025,laliga
