nombre,club_actual,altura,valor,temporada,liga
yan couto,Borussia Dortmund,1.68,4000000.0,2022-2023,LaLiga
oriol romeu,FC Barcelona,1.83,5000000.0,2022-2023,LaLiga
ibrahima kébé,Without Club,1.86,500000.0,2022-2023,LaLiga
aleix garcía,Bayer 04 Leverkusen,1.73,10000000.0,2022-2023,LaLiga
yangel herrera,Girona FC,1.84,5000000.0,2022-2023,LaLiga
ramón terrats,RCD Espanyol Barcelona,1.81,4000000.0,2022-2023,LaLiga
álex sala,Córdoba CF,1.85,200000.0,2022-2023,LaLiga
iván martín,Girona FC,1.78,3000000.0,2022-2023,LaLiga
reinier,Real Madrid,1.85,2000000.0,2022-2023,LaLiga
borja garcía,nan,1.75,1000000.0,2022-2023,LaLiga
samu saiz,Eyüpspor,1.74,900000.0,2022-2023,LaLiga
ricard artero,Girona FC B,1.81,,2022-2023,LaLiga
rodrigo riquelme,Real Betis Balompié,1.74,12000000.0,2022-2023,LaLiga
toni villa,SD Eibar,1.72,2500000.0,2022-2023,LaLiga
óscar ureña,FC Barcelona Atlètic,1.71,400000.0,2022-2023,LaLiga
joel roca,Girona FC,1.76,,2022-2023,LaLiga
viktor tsygankov,Girona FC,1.78,22000000.0,2022-2023,LaLiga
valery fernández,Girona FC,1.82,1500000.0,2022-2023,LaLiga
manu vallejo,AD Ceuta FC,1.67,2400000.0,2022-2023,LaLiga
taty castellanos,SS Lazio,1.78,15000000.0,2022-2023,LaLiga
cristhian stuani,Girona FC,1.84,2000000.0,2022-2023,LaLiga
pau víctor,FC Barcelona,1.84,300000.0,2022-2023,LaLiga
dawda camara,Girona FC B,,,2022-2023,LaLiga
agustín marchesín,CA Boca Juniors,1.88,2000000.0,2022-2023,LaLiga
iván villar,Celta de Vigo,1.86,2000000.0,2022-2023,LaLiga
christian joel,Sporting Gijón,1.93,500000.0,2022-2023,LaLiga
coke carrillo,RC Celta Fortuna,1.88,100000.0,2022-2023,LaLiga
ruly garcía,FC Vizela,1.88,50000.0,2022-2023,LaLiga
diego alves,nan,1.87,,2022-2023,LaLiga
joseph aidoo,Celta de Vigo,1.81,8000000.0,2022-2023,LaLiga
unai núñez,Celta de Vigo,1.86,6000000.0,2022-2023,LaLiga
carlos domínguez,Celta de Vigo,1.87,800000.0,2022-2023,LaLiga
sergio barcia,UD Las Palmas,1.86,300000.0,2022-2023,LaLiga
javi domínguez,Mérida AD,1.95,200000.0,2022-2023,LaLiga
javi galán,Atlético de Madrid,1.72,12000000.0,2022-2023,LaLiga
fernando medrano,CD Mirandés,1.72,200000.0,2022-2023,LaLiga
tincho conde,RC Celta Fortuna,,150000.0,2022-2023,LaLiga
hugo mallo,Without Club,1.73,3000000.0,2022-2023,LaLiga
óscar mingueza,Celta de Vigo,1.84,2500000.0,2022-2023,LaLiga
kevin vázquez,Sporting Gijón,1.75,1000000.0,2022-2023,LaLiga
renato tapia,Al-Wasl FC,1.85,6000000.0,2022-2023,LaLiga
fran beltrán,Celta de Vigo,1.65,15000000.0,2022-2023,LaLiga
luca de la torre,San Diego FC,1.77,3000000.0,2022-2023,LaLiga
hugo sotelo,Celta de Vigo,1.8,150000.0,2022-2023,LaLiga
augusto solari,CA Rosario Central,1.78,1500000.0,2022-2023,LaLiga
gabri veiga,FC Porto,1.85,30000000.0,2022-2023,LaLiga
óscar rodríguez,Without Club,1.74,8000000.0,2022-2023,LaLiga
miguel baeza,CD Nacional,1.77,900000.0,2022-2023,LaLiga
franco cervi,Celta de Vigo,1.66,3000000.0,2022-2023,LaLiga
williot swedberg,Celta de Vigo,1.87,3000000.0,2022-2023,LaLiga
hugo álvarez,Celta de Vigo,1.76,200000.0,2022-2023,LaLiga
carles pérez,Aris Thessaloniki,1.73,5000000.0,2022-2023,LaLiga
miguel rodríguez,FC Utrecht,1.79,1000000.0,2022-2023,LaLiga
jørgen strand larsen,Wolverhampton Wanderers,1.93,11000000.0,2022-2023,LaLiga
iago aspas,Celta de Vigo,1.76,6000000.0,2022-2023,LaLiga
haris seferovic,Without Club,1.89,4000000.0,2022-2023,LaLiga
gonçalo paciência,Sport Club do Recife,1.84,2000000.0,2022-2023,LaLiga
pablo durán,Celta de Vigo,1.76,250000.0,2022-2023,LaLiga
fran lópez,Alondras CF,,,2022-2023,LaLiga
david soria,Getafe CF,1.92,8000000.0,2022-2023,LaLiga
diego conde,Villarreal CF,1.88,300000.0,2022-2023,LaLiga
