nombre,club_actual,altura,valor,temporada,liga
jan paul van hecke,Brighton & Hove Albion,1.89,5000000.0,League,Premier
ed turns,Exeter City,1.86,350000.0,League,Premier
antef tsoungui,Feyenoord Rotterdam,1.85,250000.0,League,Premier
pervis estupiñán,Brighton & Hove Albion,1.75,32000000.0,League,Premier
haydon roberts,Bristol City,1.84,700000.0,League,Premier
james furlong,Hull City,1.78,275000.0,League,Premier
imari samuels,Dundee FC,1.87,150000.0,League,Premier
tariq lamptey,Brighton & Hove Albion,1.63,12000000.0,League,Premier
joël veltman,Brighton & Hove Albion,1.84,10000000.0,League,Premier
odeluga offiah,Preston North End,1.87,200000.0,League,Premier
moisés caicedo,Chelsea FC,1.78,75000000.0,League,Premier
billy gilmour,SSC Napoli,1.7,12000000.0,League,Premier
jack hinchy,Notts County,,100000.0,League,Premier
alexis mac allister,Liverpool FC,1.76,65000000.0,League,Premier
jakub moder,Feyenoord Rotterdam,1.91,10000000.0,League,Premier
pascal groß,Borussia Dortmund,1.81,8000000.0,League,Premier
yasin ayari,Brighton & Hove Albion,1.72,6000000.0,League,Premier
steven alzate,Hull City,1.8,4000000.0,League,Premier
taylor richards,Queens Park Rangers,1.8,400000.0,League,Premier
jack spong,Worthing FC,,150000.0,League,Premier
enock mwepu,nan,1.84,,League,Premier
jack hinshelwood,Brighton & Hove Albion,1.82,,League,Premier
julio enciso,Brighton & Hove Albion,1.73,22000000.0,League,Premier
facundo buonanotte,Brighton & Hove Albion,1.74,12000000.0,League,Premier
adam lallana,nan,1.72,1200000.0,League,Premier
andrew moran,Brighton & Hove Albion,1.77,300000.0,League,Premier
leandro trossard,Arsenal FC,1.72,35000000.0,League,Premier
kaoru mitoma,Brighton & Hove Albion,1.78,32000000.0,League,Premier
jeremy sarmiento,Brighton & Hove Albion,1.78,5000000.0,League,Premier
cameron peupion,ADO Den Haag,1.75,125000.0,League,Premier
solly march,Brighton & Hove Albion,1.8,22000000.0,League,Premier
evan ferguson,Brighton & Hove Albion,1.88,30000000.0,League,Premier
neal maupay,Olympique Marseille,1.71,10000000.0,League,Premier
deniz undav,VfB Stuttgart,1.79,10000000.0,League,Premier
danny welbeck,Brighton & Hove Albion,1.85,7000000.0,League,Premier
aaron connolly,Leyton Orient,1.74,4000000.0,League,Premier
emiliano martínez,Aston Villa,1.95,28000000.0,League,Premier
robin olsen,Malmö FF,1.96,1500000.0,League,Premier
jed steer,Without Club,1.83,500000.0,League,Premier
