nombre,club_actual,altura,valor,temporada,liga
diego carlos,Fenerbahce,1.85,9500000.0,2024-2025,Premier-League
tyrone mings,Aston Villa,1.96,5000000.0,2024-2025,Premier-League
kortney hause,Without Club,1.91,1000000.0,2024-2025,Premier-League
sil swinkels,Exeter City,,150000.0,2024-2025,Premier-League
ian maatsen,Aston Villa,1.78,28000000.0,2024-2025,Premier-League
lucas digne,Aston Villa,1.78,10000000.0,2024-2025,Premier-League
travis patterson,Aston Villa U21,,,2024-2025,Premier-League
matty cash,Aston Villa,1.85,25000000.0,2024-2025,Premier-League
kosta nedeljkovic,RB Leipzig,1.84,10000000.0,2024-2025,Premier-League
andrés garcía,Aston Villa,1.85,7000000.0,2024-2025,Premier-League
triston rowe,Aston Villa U21,,,2024-2025,Premier-League
amadou onana,Aston Villa,1.95,50000000.0,2024-2025,Premier-League
boubacar kamara,Aston Villa,1.84,40000000.0,2024-2025,Premier-League
lamare bogarde,Aston Villa,1.85,6000000.0,2024-2025,Premier-League
youri tielemans,Aston Villa,1.77,38000000.0,2024-2025,Premier-League
john mcginn,Aston Villa,1.78,16000000.0,2024-2025,Premier-League
ross barkley,Aston Villa,1.89,6000000.0,2024-2025,Premier-League
jamaldeen jimoh-aloba,Aston Villa U21,,300000.0,2024-2025,Premier-League
aidan borland,Aston Villa U21,1.77,,2024-2025,Premier-League
jacob ramsey,Aston Villa,1.8,32000000.0,2024-2025,Premier-League
morgan rogers,Aston Villa,1.87,55000000.0,2024-2025,Premier-League
marco asensio,Paris Saint-Germain,1.82,20000000.0,2024-2025,Premier-League
emiliano buendía,Aston Villa,1.72,15000000.0,2024-2025,Premier-League
bradley burrowes,Aston Villa U18,,,2024-2025,Premier-League
marcus rashford,Manchester United,1.85,50000000.0,2024-2025,Premier-League
jaden philogene,Ipswich Town,1.81,16000000.0,2024-2025,Premier-League
kadan young,Aston Villa U21,1.76,300000.0,2024-2025,Premier-League
ben broggio,Aston Villa U21,1.81,,2024-2025,Premier-League
leon bailey,Aston Villa,1.78,28000000.0,2024-2025,Premier-League
