nombre,entradas_1/3,entradas_2/3,entradas_3/3,duelos_ganados,entradas,entradas_ganadas,bloqueos,bloqueos_tiro,bloqueos_pase,temporada,liga
martin hongla,9,13,2,72.7,24,13,8,3,5,2023-2024,serie-a
sydney van hooijdonk,0,2,1,50.0,3,0,1,1,0,2023-2024,serie-a
dean huijsen,5,5,0,25.0,10,5,7,4,3,2023-2024,serie-a
dean huijsen,0,0,0,,0,0,0,0,0,2023-2024,serie-a
elseid hysaj,8,13,3,62.5,24,14,16,6,10,2023-2024,serie-a
arijon ibrahimović,4,2,1,11.1,7,6,4,0,4,2023-2024,serie-a
jonathan ikone,7,9,6,58.8,22,11,12,0,12,2023-2024,serie-a
chukwubuikem ikwuemesi,0,2,1,33.3,3,1,1,1,0,2023-2024,serie-a
ivan ilić,9,10,3,48.1,22,8,20,7,13,2023-2024,serie-a
samuel iling-junior,9,11,3,61.1,23,13,17,5,12,2023-2024,serie-a
ciro immobile,2,5,4,21.4,11,9,9,3,6,2023-2024,serie-a
gino infantino,0,1,0,0.0,1,1,4,0,4,2023-2024,serie-a
gustav isaksen,2,1,1,11.1,4,3,11,1,10,2023-2024,serie-a
ardian ismajli,18,6,2,78.3,26,16,28,17,11,2023-2024,serie-a
armando izzo,17,9,1,59.3,27,17,20,16,4,2023-2024,serie-a
filip jagiełło,0,0,0,0.0,0,0,1,1,0,2023-2024,serie-a
jakub jankto,9,1,2,40.0,12,9,5,1,4,2023-2024,serie-a
juan jesus,28,12,2,69.7,42,19,23,12,11,2023-2024,serie-a
alejandro jiménez,2,0,0,40.0,2,1,0,0,0,2023-2024,serie-a
kaio jorge,0,1,5,75.0,6,4,6,0,6,2023-2024,serie-a
luka jović,0,3,3,66.7,6,4,3,0,3,2023-2024,serie-a
hamed junior traorè,2,0,2,16.7,4,2,3,0,3,2023-2024,serie-a
mohamed kaba,15,16,8,50.0,39,23,22,4,18,2023-2024,serie-a
christian kabasele,4,5,1,18.2,10,7,15,9,6,2023-2024,serie-a
yayah kallon,0,0,0,,0,0,0,0,0,2023-2024,serie-a
pierre kalulu,2,3,0,50.0,5,1,4,3,1,2023-2024,serie-a
daichi kamada,22,22,9,53.8,53,36,24,5,19,2023-2024,serie-a
hassane kamara,26,13,6,65.8,45,32,29,2,27,2023-2024,serie-a
yann karamoh,0,0,1,,1,0,0,0,0,2023-2024,serie-a
jesper karlsson,2,1,0,25.0,3,3,4,0,4,2023-2024,serie-a
rick karsdorp,11,8,6,66.7,25,18,13,4,9,2023-2024,serie-a
grigoris kastanos,8,9,6,45.0,23,14,13,4,9,2023-2024,serie-a
michael kayode,27,15,11,72.9,53,30,25,12,13,2023-2024,serie-a
moise kean,3,2,2,33.3,7,4,4,1,3,2023-2024,serie-a
simon kjær,11,11,2,63.6,24,15,22,16,6,2023-2024,serie-a
davy klaassen,0,4,0,33.3,4,2,5,1,4,2023-2024,serie-a
sead kolašinac,23,19,2,61.2,44,32,22,9,13,2023-2024,serie-a
teun koopmeiners,12,22,5,34.0,39,24,33,3,30,2023-2024,serie-a
filip kostić,20,13,4,51.5,37,23,29,8,21,2023-2024,serie-a
christian kouamé,7,6,0,60.0,13,4,16,0,16,2023-2024,serie-a
viktor kovalenko,2,2,1,25.0,5,2,12,2,10,2023-2024,serie-a
rasmus kristensen,25,8,3,56.0,36,19,27,7,20,2023-2024,serie-a
thomas kristensen,25,10,0,63.6,35,24,29,20,9,2023-2024,serie-a
nikola krstović,3,9,5,60.0,17,6,12,4,8,2023-2024,serie-a
rade krunić,3,6,1,44.4,10,8,7,3,4,2023-2024,serie-a
marash kumbulla,2,1,0,50.0,3,2,8,6,2,2023-2024,serie-a
justin kumi,0,0,0,,0,0,0,0,0,2023-2024,serie-a
berkan kutlu,5,1,0,50.0,6,4,3,0,3,2023-2024,serie-a
khvicha kvaratskhelia,11,19,12,30.6,42,21,15,1,14,2023-2024,serie-a
giorgi kvernadze,2,0,1,100.0,3,0,1,0,1,2023-2024,serie-a
giorgos kyriakopoulos,16,3,0,45.8,19,10,18,1,17,2023-2024,serie-a
gianluca lapadula,0,0,1,10.0,1,1,2,1,1,2023-2024,serie-a
armand lauriente,8,14,9,29.5,31,20,29,4,25,2023-2024,serie-a
valentino lazaro,7,9,2,68.4,18,11,14,1,13,2023-2024,serie-a
darko lazović,11,6,9,51.6,26,16,10,1,9,2023-2024,serie-a
manuel lazzari,13,10,3,64.3,26,18,20,4,16,2023-2024,serie-a
nicola leali,0,0,0,,0,0,0,0,0,2023-2024,serie-a
rafael leão,3,8,5,61.5,16,10,15,1,14,2023-2024,serie-a
jesper lindstrøm,2,3,3,50.0,8,3,3,0,3,2023-2024,serie-a
karol linetty,9,20,1,31.0,30,21,24,8,16,2023-2024,serie-a
luca lipani,4,3,2,27.3,9,7,9,2,7,2023-2024,serie-a
pol lirola,14,15,1,48.6,30,18,12,1,11,2023-2024,serie-a
marcin listkowski,0,0,0,,0,0,0,0,0,2023-2024,serie-a
diego llorente,20,10,1,45.8,31,19,40,27,13,2023-2024,serie-a
stanislav lobotka,18,30,13,40.0,61,39,30,8,22,2023-2024,serie-a
manuel locatelli,24,35,10,53.4,69,43,43,17,26,2023-2024,serie-a
ruben loftus-cheek,7,14,7,55.6,28,18,24,12,12,2023-2024,serie-a
ademola lookman,2,11,7,36.4,20,15,19,0,19,2023-2024,serie-a
maxime lopez,5,10,3,50.0,18,9,3,1,2,2023-2024,serie-a
maxime lopez,1,1,0,50.0,2,1,1,1,0,2023-2024,serie-a
matteo lovato,5,5,0,80.0,10,7,9,5,4,2023-2024,serie-a
matteo lovato,17,8,2,66.7,27,14,14,7,7,2023-2024,serie-a
sandi lovrić,9,11,5,39.1,25,12,21,2,19,2023-2024,serie-a
lorenzo lucca,4,11,4,25.0,19,11,18,3,15,2023-2024,serie-a
jhon lucumí,31,17,0,75.0,48,29,32,17,15,2023-2024,serie-a
josé luis palomino,1,1,0,100.0,2,1,2,1,1,2023-2024,serie-a
romelu lukaku,1,2,3,50.0,6,5,7,1,6,2023-2024,serie-a
karlo lulić,0,0,0,,0,0,1,0,1,2023-2024,serie-a
sebastiano luperto,25,10,2,62.5,37,26,46,35,11,2023-2024,serie-a
mateus lusuardi,1,1,0,33.3,2,1,4,2,2,2023-2024,serie-a
zito luvumbo,5,2,2,26.7,9,6,19,0,19,2023-2024,serie-a
charalampos lykogiannis,5,4,1,50.0,10,6,15,5,10,2023-2024,serie-a
