nombre,entradas_1/3,entradas_2/3,entradas_3/3,duelos_ganados,entradas,entradas_ganadas,bloqueos,bloqueos_tiro,bloqueos_pase,temporada,liga
david torres,0,1,0,100.0,1,1,4,2,2,2022-2023,laliga
ferrán torres,4,5,4,25.0,13,7,11,2,9,2022-2023,laliga
óliver torres,12,13,14,30.5,39,23,26,5,21,2022-2023,laliga
pau torres,25,13,5,63.9,43,25,36,27,9,2022-2023,laliga
roberto torres,0,0,0,,0,0,0,0,0,2022-2023,laliga
lucas torró,28,15,5,42.9,48,32,24,3,21,2022-2023,laliga
nabil touaizi,0,0,0,,0,0,0,0,0,2022-2023,laliga
óscar trejo,12,23,13,20.5,48,32,31,3,28,2022-2023,laliga
manu trigueros,9,5,6,40.9,20,14,9,2,7,2022-2023,laliga
viktor tsyhankov,5,1,2,7.1,8,8,13,2,11,2022-2023,laliga
beñat turrientes,3,0,0,20.0,3,3,2,0,2,2022-2023,laliga
enes ünal,5,19,2,28.0,26,14,19,2,17,2022-2023,laliga
oscar ureña,2,2,0,66.7,4,2,2,0,2,2022-2023,laliga
óscar valentín,29,50,13,38.0,92,51,60,9,51,2022-2023,laliga
martin valjent,22,12,1,67.9,35,27,39,21,18,2022-2023,laliga
jesús vallejo,0,0,0,,0,0,0,0,0,2022-2023,laliga
manu vallejo,1,2,1,16.7,4,1,2,0,2,2022-2023,laliga
federico valverde,14,11,6,50.0,31,20,31,4,27,2022-2023,laliga
jesus vazquez,9,1,3,54.5,13,8,4,0,4,2022-2023,laliga
kevin vázquez,5,7,1,66.7,13,8,4,1,3,2022-2023,laliga
lucas vázquez,22,10,2,71.4,34,23,10,0,10,2022-2023,laliga
gabriel veiga,14,25,4,30.8,43,19,30,3,27,2022-2023,laliga
unai vencedor paris,0,3,0,16.7,3,1,5,0,5,2022-2023,laliga
gonzalo verdú,8,2,0,50.0,10,5,8,6,2,2022-2023,laliga
mikel vesga,21,31,5,36.8,57,35,39,8,31,2022-2023,laliga
aleix vidal,6,3,2,18.2,11,5,21,2,19,2022-2023,laliga
nacho vidal,16,6,5,53.1,27,14,17,4,13,2022-2023,laliga
toni villa,2,3,1,44.4,6,3,0,0,0,2022-2023,laliga
toni villa,9,11,5,43.5,25,18,8,0,8,2022-2023,laliga
asier villalibre,0,0,0,,0,0,0,0,0,2022-2023,laliga
gonzalo villar,1,6,3,42.9,10,5,9,2,7,2022-2023,laliga
iván villar,0,0,0,0.0,0,0,0,0,0,2022-2023,laliga
daniel vivian,36,16,5,80.0,57,32,27,14,13,2022-2023,laliga
shon weissman,1,1,0,0.0,2,1,8,0,8,2022-2023,laliga
axel werner,0,0,0,0.0,0,0,0,0,0,2022-2023,laliga
iñaki williams,5,14,3,37.5,22,16,18,3,15,2022-2023,laliga
nico williams,10,15,6,46.3,31,16,40,2,38,2022-2023,laliga
axel witsel,22,11,3,54.8,36,22,20,11,9,2022-2023,laliga
lamine yamal,0,0,0,,0,0,0,0,0,2022-2023,laliga
jawad el yamiq,10,7,0,54.5,17,11,27,19,8,2022-2023,laliga
joseba zaldúa,10,4,1,70.0,15,8,4,2,2,2022-2023,laliga
oier zarraga,5,7,2,40.0,14,9,7,0,7,2022-2023,laliga
igor zubeldia,28,7,0,71.4,35,18,23,17,6,2022-2023,laliga
martín zubimendi,23,30,6,53.3,59,33,44,17,27,2022-2023,laliga
