nombre,club_actual,entradas_1/3,entradas_2/3,entradas_3/3,duelos_ganados,entradas,entradas_ganadas,intercepciones,bloqueos,bloqueos_tiro,bloqueos_pase,despejes,errores_defensivos,temporada,liga
nicolas haas,Empoli,16,6,5,50.0,27,13,8,16,4,12,27,0,2022-2023,serie-a
samir handanović,Inter,0,0,0,,0,0,0,0,0,0,5,0,2022-2023,serie-a
abdou harroui,Sassuolo,6,7,4,28.6,17,6,2,6,1,5,10,0,2022-2023,serie-a
hans hateboer,Atalanta,11,8,2,40.7,21,13,12,23,4,19,25,0,2022-2023,serie-a
liam henderson,Empoli,6,5,2,19.0,13,10,10,10,2,8,10,0,2022-2023,serie-a
jack hendry,Cremonese,0,0,0,0.0,0,0,1,2,1,1,7,0,2022-2023,serie-a
matheus henrique,Sassuolo,9,11,6,50.0,26,12,12,15,4,11,10,0,2022-2023,serie-a
thomas henry,Hellas Verona,1,1,3,20.0,5,3,0,6,2,4,14,0,2022-2023,serie-a
theo hernández,Milan,27,15,1,57.9,43,24,21,34,7,27,35,1,2022-2023,serie-a
isak hien,Hellas Verona,54,19,0,62.3,73,36,31,40,17,23,92,1,2022-2023,serie-a
morten hjulmand,Lecce,49,40,1,55.2,90,52,72,43,11,32,54,0,2022-2023,serie-a
emil holm,Spezia,13,8,5,51.6,26,15,9,21,6,15,41,0,2022-2023,serie-a
martin hongla,Hellas Verona,4,4,0,100.0,8,5,6,7,1,6,9,0,2022-2023,serie-a
player,Squad,Def 3rd,Mid 3rd,Att 3rd,Tkl%,Tkl,TklW,Int,Blocks,Sh,Pass,Clr,Err,2022-2023,serie-a
petko hristov,Spezia,2,4,0,62.5,6,4,4,4,2,2,12,0,2022-2023,serie-a
ajdin hrustic,Hellas Verona,1,1,0,50.0,2,1,0,2,0,2,2,1,2022-2023,serie-a
elseid hysaj,Lazio,24,11,4,56.1,39,23,20,31,7,24,42,0,2022-2023,serie-a
rasmus højlund,Atalanta,0,2,2,16.7,4,3,1,9,1,8,5,0,2022-2023,serie-a
roger ibanez,Roma,38,26,3,66.7,67,33,66,30,11,19,95,2,2022-2023,serie-a
