nombre,goles_esperados,asistencias_esperadas,goles_esperados_noPen,key_passes,xGChain,xGBuildup,temporada,liga
michail antonio,2.99339403398335,1.598572283051908,2.99339403398335,9,5.190587151795626,1.7512829042971134,2024-2025,premier-league
ashley young,0.2522744350135326,2.9377346560359,0.2522744350135326,26,4.867778211832047,3.145018443465233,2024-2025,premier-league
christian eriksen,1.3317703362554312,3.2394327828660607,0.5706015210598707,29,7.565414318814874,6.649325430393219,2024-2025,premier-league
jack grealish,1.2711530942469835,1.9155478971078992,1.2711530942469835,24,6.737229811958969,4.150039034895599,2024-2025,premier-league
ben chilwell,0.2562433071434498,0.8998954109847546,0.2562433071434498,5,1.1016745641827583,0.7247382774949074,2024-2025,premier-league
james ward-prowse,1.2941841231659057,3.261906538158655,1.2941841231659057,24,5.538908100686967,2.914741839282214,2024-2025,premier-league
danny ings,1.7657166114076972,1.154838539659977,1.7657166114076972,6,2.8344373060390358,0.2195451222360134,2024-2025,premier-league
mario lemina,1.1920787254348395,1.287991652265191,1.1920787254348395,10,5.342703886330128,3.873324125539512,2024-2025,premier-league
james tarkowski,1.2661416758783162,2.7973302034661174,1.2661416758783162,16,5.207525005564094,4.634369108825922,2024-2025,premier-league
harry maguire,2.342265553772449,0.9308241046965122,2.342265553772449,8,5.207567437551916,3.673637080006301,2024-2025,premier-league
jack stephens,0.6747798472642899,0.2880069650709629,0.6747798472642899,3,3.423359040170908,3.381859246641397,2024-2025,premier-league
lewis cook,0.963939368724823,4.5853610355407,0.963939368724823,47,12.705790558829904,10.713933983817697,2024-2025,premier-league
casemiro,1.939050110988319,2.170760851353407,1.939050110988319,22,7.131643548607826,5.040456134825945,2024-2025,premier-league
carlos soler,2.29219813644886,1.0893699526786804,2.29219813644886,17,5.286610726267099,2.4397572688758373,2024-2025,premier-league
estupiñán,1.3183485567569733,2.320820614695549,1.3183485567569733,27,12.298998538404703,10.615641921758652,2024-2025,premier-league
leon bailey,2.867841899394989,2.372280452400446,2.867841899394989,16,6.292120710015297,2.2766535691916943,2024-2025,premier-league
tosin adarabioyo,1.1859792517498136,0.3341391310095787,1.1859792517498136,2,8.569632288068533,8.549678575247526,2024-2025,premier-league
boubacar kamara,0.7928520627319813,0.901398416608572,0.7928520627319813,11,7.008257182314992,5.887418569996953,2024-2025,premier-league
orel mangala,0.7135743591934443,0.494984382763505,0.7135743591934443,8,2.846376329660416,2.0121847297996283,2024-2025,premier-league
ibrahima konaté,1.85700361803174,1.0275321248918772,1.85700361803174,10,17.322711497545242,16.64254543930292,2024-2025,premier-league
ben johnson,1.4644898548722267,2.1658401750028133,1.4644898548722267,11,4.204577220603824,1.2919913660734892,2024-2025,premier-league
reiss nelson,1.4182224795222282,1.1306451223790646,1.4182224795222282,13,4.734423227608204,3.0769786797463894,2024-2025,premier-league
bobby reid,0.667118170298636,1.0936873592436314,0.667118170298636,6,1.5033471286296844,0.7257871571928263,2024-2025,premier-league
conor coady,0.6421074867248535,0.0701530873775482,0.6421074867248535,1,5.112960673868656,4.499962247908115,2024-2025,premier-league
axel disasi,0.6244775578379631,0.3375391270965338,0.6244775578379631,5,2.507807642221451,2.215707093477249,2024-2025,premier-league
cristian romero,1.905144028365612,0.6253029182553291,1.905144028365612,7,6.663078460842371,6.324385602027178,2024-2025,premier-league
caleb okoli,0.8699327614158392,0.0,0.8699327614158392,0,2.478840259835124,2.460140427574516,2024-2025,premier-league
dan burn,2.574376904405653,1.1636743620038033,2.574376904405653,9,10.685649447143078,10.075688883662224,2024-2025,premier-league
harvey elliott,1.6678786408156157,1.2793736029416325,1.6678786408156157,10,4.181995172053576,2.2030859515070915,2024-2025,premier-league
john mcginn,3.7942231353372335,3.4790949057787657,3.7942231353372335,30,11.842593720182776,7.252999009564519,2024-2025,premier-league
mason mount,2.9394782911986117,0.335563201457262,2.9394782911986117,8,4.9926538458094,1.9043842209503052,2024-2025,premier-league
taiwo awoniyi,2.418665297329426,0.0885970722883939,2.418665297329426,2,2.95575431548059,0.4484919551759958,2024-2025,premier-league
joão félix,2.64809543825686,0.6843841634690762,2.64809543825686,6,4.425876019522548,1.2964793983846905,2024-2025,premier-league
reece james,0.5808683261275291,1.3240125216543674,0.5808683261275291,11,3.869105190038681,3.5282998234033585,2024-2025,premier-league
kieran tierney,0.9213433265686036,1.199159286916256,0.9213433265686036,8,1.968412023037672,0.9727844670414924,2024-2025,premier-league
neco williams,3.0044789891690016,1.7043100725859404,3.0044789891690016,18,8.458546839654446,5.081802843138576,2024-2025,premier-league
william smallbone,0.6896725203841925,0.5868444573134184,0.6896725203841925,10,2.8830344323068857,2.286232426762581,2024-2025,premier-league
chris richards,1.6956392526626587,0.114281041547656,1.6956392526626587,2,4.323614971712232,4.20933392085135,2024-2025,premier-league
taylor harwood-bellis,2.1951861269772053,1.9898590259253977,2.1951861269772053,14,7.381218569353223,6.122977705672383,2024-2025,premier-league
wout faes,1.563155423849821,0.1705409092828631,1.563155423849821,4,5.0110078155994415,4.808216721750796,2024-2025,premier-league
jack harrison,3.3758146427571774,3.650003883987665,3.3758146427571774,33,7.757276251912117,2.7420455012470484,2024-2025,premier-league
maxence lacroix,2.7525001103058457,1.6881468072533607,2.7525001103058457,8,8.140122196637094,6.942754318006337,2024-2025,premier-league
matthew cash,0.4955384666100144,1.4866319708526134,0.4955384666100144,10,7.091400654055178,6.572270311415196,2024-2025,premier-league
leif davis,0.798027765005827,6.061805084347725,0.798027765005827,61,7.2669062577188015,4.01152390614152,2024-2025,premier-league
jacob ramsey,1.4540390092879534,2.891221077181399,1.4540390092879534,21,9.212930692359803,5.757394967600703,2024-2025,premier-league
chimuanya ugochukwu,0.8239525118842721,0.9677973967045546,0.8239525118842721,14,4.15837118960917,3.4592729564756155,2024-2025,premier-league
moisés caicedo,0.6911019859835505,2.924944289028645,0.6911019859835505,29,19.78497724980116,17.50836056470871,2024-2025,premier-league
crysencio summerville,1.8140362668782477,2.1587705314159398,1.8140362668782477,17,4.351440954953432,1.1789654307067394,2024-2025,premier-league
daniel jebbison,1.7295908629894257,0.2071749344468116,1.7295908629894257,3,2.19595605134964,0.2896595001220703,2024-2025,premier-league
william osula,0.2826921939849853,0.1338628381490707,0.2826921939849853,2,0.3538459315896034,0.0743556916713714,2024-2025,premier-league
kamaldeen sulemana,1.5610322337597609,1.2623700015246868,1.5610322337597609,10,3.277868576347828,1.0029112379997969,2024-2025,premier-league
vitaly janelt,0.9458270631730556,2.358839701861143,0.9458270631730556,14,8.97201941628009,5.991170124150813,2024-2025,premier-league
patson daka,1.767653119750321,0.0259240753948688,1.767653119750321,1,1.957958842627704,0.1643816493451595,2024-2025,premier-league
nico gonzález,0.8193094208836555,0.0815559178590774,0.8193094208836555,1,6.620623365044594,6.3495680540800095,2024-2025,premier-league
jakub kiwior,0.2143479213118553,0.5097704380750656,0.2143479213118553,5,3.440646205097437,3.275878395885229,2024-2025,premier-league
kasey mcateer,1.4462989773601294,0.905257573351264,1.4462989773601294,9,3.96396641433239,1.788604959845543,2024-2025,premier-league
evan ferguson,1.4812848791480064,0.7929156944155693,1.4812848791480064,5,2.186324803158641,0.0809200052171945,2024-2025,premier-league
vitalii mykolenko,0.6015322427265346,3.0272322706878185,0.6015322427265346,24,8.047195924445987,5.357288662344217,2024-2025,premier-league
jens cajuste,0.6125177554786205,0.6245124880224466,0.6125177554786205,13,5.957525156438351,5.012046929448843,2024-2025,premier-league
djed spence,0.417020246386528,1.8481179997324944,0.417020246386528,11,6.893741740845144,6.0086276941001415,2024-2025,premier-league
jan paul van hecke,1.0002109874039888,1.558699306100607,1.0002109874039888,16,14.846226522698998,13.811430538073182,2024-2025,premier-league
keane lewis-potter,3.2576067624613643,3.338346378877759,3.2576067624613643,26,9.596967240795491,5.59095348790288,2024-2025,premier-league
wilson odobert,2.115951618179679,0.8556916369125247,2.115951618179679,6,4.030231017619371,1.800855565816164,2024-2025,premier-league
flynn downes,0.8941574329510331,1.6155836284160614,0.8941574329510331,15,8.310527911409736,6.55848484672606,2024-2025,premier-league
rico lewis,1.6414977870881555,0.3464172556996345,1.6414977870881555,7,14.292443186044691,12.876099944114683,2024-2025,premier-league
emmanuel agbadou,0.69438168220222,0.1891781575977802,0.69438168220222,4,3.78240617364645,3.7525524757802486,2024-2025,premier-league
luis sinisterra,1.7229826282709837,1.762933598831296,1.7229826282709837,8,2.894174002110958,0.5542034497484565,2024-2025,premier-league
matheus nunes,1.189816527068615,3.9489037338644266,1.189816527068615,23,10.188475765287876,7.719313248991966,2024-2025,premier-league
brajan gruda,1.0134435147047045,2.2726940251886845,1.0134435147047045,23,3.96596534922719,1.7325535658746958,2024-2025,premier-league
lewis miley,0.2039504423737526,0.0893867462873458,0.2039504423737526,1,1.0136461164802313,0.8299028035253286,2024-2025,premier-league
jurriën timber,1.3132512997835877,1.1326866932213306,1.3132512997835877,17,10.589375596493484,9.367386754602194,2024-2025,premier-league
calvin bassey,1.1175763411447406,0.1130702113732695,1.1175763411447406,3,10.457166313193738,10.319827779196205,2024-2025,premier-league
sávio,5.246914088726044,6.9446608647704124,5.246914088726044,45,16.14704818278551,5.930092327296734,2024-2025,premier-league
manuel ugarte,1.087446665391326,1.616088747046888,1.087446665391326,10,7.235839036293328,6.052829889580607,2024-2025,premier-league
ian maatsen,0.979834190569818,3.0338974483311176,0.979834190569818,19,9.690310459583998,8.366953602991998,2024-2025,premier-league
matheus frança,0.4079460725188255,0.0,0.4079460725188255,0,0.5714588239789009,0.1635127514600753,2024-2025,premier-league
myles lewis-skelly,0.2544533908367157,0.4991668798029423,0.2544533908367157,8,5.465138830244541,5.074087254703045,2024-2025,premier-league
tyrique george,0.3738933689892292,1.0261513106524944,0.3738933689892292,6,1.885858304798603,0.5690330639481544,2024-2025,premier-league
jacob greaves,1.4357987744733691,0.2260055681690573,1.4357987744733691,6,3.7184569966048,3.5594952162355185,2024-2025,premier-league
sam morsy,0.2957767499610781,1.4169819168746471,0.2957767499610781,24,9.255466464906933,8.384842346422374,2024-2025,premier-league
conor chaplin,1.434986375272274,0.7888719039037824,1.434986375272274,8,3.172867614775896,1.4127340912818909,2024-2025,premier-league
jack taylor,0.5857022814452648,0.7670453414320946,0.5857022814452648,5,2.72093062568456,2.4428652273491025,2024-2025,premier-league
mats wieffer,1.0993042346090078,1.0669435421004891,1.0993042346090078,15,5.176637289114296,4.247457327321172,2024-2025,premier-league
yukinari sugawara,0.4496091231703758,3.2835169788450003,0.4496091231703758,17,5.613592414185405,4.167844578623772,2024-2025,premier-league
ramón sosa,1.1310514248907566,0.6833146139979362,1.1310514248907566,8,2.070654297247529,0.2562882862985134,2024-2025,premier-league
justin devenny,1.1472182907164097,0.6334958653897047,1.1472182907164097,7,2.1069728769361973,0.9024819005280732,2024-2025,premier-league
ross stewart,0.8806956596672535,0.0,0.8806956596672535,0,1.6948200725018978,1.2228461802005768,2024-2025,premier-league
ferdi kadioglu,0.6023932620882988,0.1645598961040377,0.6023932620882988,5,2.1883304491639137,1.5457853525877,2024-2025,premier-league
diego gómez,0.8773256950080395,1.5821922849863768,0.8773256950080395,9,4.766626961529255,4.030858531594276,2024-2025,premier-league
romain esse,0.5787168145179749,0.3007222488522529,0.5787168145179749,3,1.1815895438194275,0.3021504878997803,2024-2025,premier-league
timo werner,0.953228548169136,3.0806511119008064,0.953228548169136,10,5.666859710589051,1.7122303992509842,2024-2025,premier-league
jannik vestergaard,0.1115449527278542,0.0718512497842311,0.1115449527278542,3,3.81364513002336,3.792594706639648,2024-2025,premier-league
bernd leno,0.0,0.31894351541996,0.0,2,9.378365483134983,9.059421986341476,2024-2025,premier-league
callum wilson,0.7507430538535118,0.1887170672416687,0.7507430538535118,3,1.4098929166793823,0.470432810485363,2024-2025,premier-league
danny ward,0.0,0.0,0.0,0,0.0701530873775482,0.0701530873775482,2024-2025,premier-league
adam lallana,0.1523155756294727,0.5534783098846674,0.1523155756294727,4,1.702550608664751,1.124756133183837,2024-2025,premier-league
james milner,0.1920489966869354,0.2607630733400583,0.1920489966869354,4,0.5119482576847076,0.2050254121422767,2024-2025,premier-league
joel ward,0.0,0.0684693977236747,0.0,1,0.1046429947018623,0.1046429947018623,2024-2025,premier-league
aaron cresswell,0.1508999690413475,1.589625921100378,0.1508999690413475,9,2.41888221912086,1.7282752357423306,2024-2025,premier-league
nathan aké,0.2418667152523994,0.0160249359905719,0.2418667152523994,1,3.5274377912282944,3.38953398168087,2024-2025,premier-league
seamus coleman,0.4752198457717895,0.0,0.4752198457717895,0,1.2030456438660622,0.7278257980942726,2024-2025,premier-league
